County,Total.x,Trump,Clinton,trump_pct,clinton_pct,Total.y,Moore,Jones,moore_pct,jones_pct,change_dem
Autauga,25146,18172,5936,0.7226596675415573,0.23606140141573212,14642,8762,5615,0.5984155170058735,0.3834858625870783,0.14742446117134617
Baldwin,96229,72883,18458,0.7573912230200875,0.19181327874133577,62941,38566,22261,0.6127325590632497,0.35368043087971274,0.16186715213837696
Barbour,10544,5454,4871,0.5172610015174507,0.4619688922610015,6462,2702,3716,0.41813679975239865,0.5750541627978953,0.11308527053689382
Bibb,8845,6738,1874,0.7617863199547767,0.2118711136235161,5235,3599,1567,0.6874880611270296,0.29933142311365807,0.08746030949014197
Blount,25682,22808,2150,0.8880928276613971,0.08371622147807803,14226,11631,2408,0.8175875158161113,0.16926753831013636,0.08555131683205833
Bullock,4741,1139,3530,0.2402446741193841,0.7445686564016031,3382,656,2715,0.19396806623299823,0.8027794204612655,0.05821076405966241
Butler,8774,4901,3726,0.5585821746067928,0.42466377934807387,5714,2758,2915,0.4826741337066853,0.5101505075253763,0.0854867281773024
Calhoun,48076,32865,13242,0.6836051252184042,0.2754388884266578,28008,15238,12331,0.5440588403313339,0.4402670665524136,0.1648281781257558
Chambers,13904,7843,5784,0.5640822784810127,0.4159953970080552,7636,3312,4257,0.43373493975903615,0.5574908328968046,0.14149543588874935
Cherokee,10860,8953,1547,0.8244014732965009,0.14244935543278084,5649,4006,1529,0.7091520623119136,0.2706673747565941,0.12821801932381324
Chilton,18460,15081,2911,0.816955579631636,0.1576923076923077,9277,6987,2168,0.7531529589306888,0.2336962380079767,0.07600393031566902
Choctaw,7334,4106,3109,0.5598581947095719,0.4239160076356695,4244,1949,2277,0.45923656927426953,0.5365221489161168,0.11260614128044732
Clarke,13100,7140,5749,0.5450381679389313,0.4388549618320611,8407,3995,4363,0.47519923872963005,0.5189722850005948,0.0801173231685337
Clay,6641,5245,1237,0.7897906941725644,0.18626712844451138,3625,2589,990,0.7142068965517241,0.2731034482758621,0.0868363198313507
Cleburne,6645,5764,684,0.8674191121143717,0.10293453724604966,3100,2468,600,0.7961290322580645,0.1935483870967742,0.09061384985072453
Coffee,21084,15875,4221,0.752940618478467,0.20019920318725098,12006,8063,3730,0.6715808762285523,0.3106779943361653,0.11047879114891429
Colbert,25074,16746,7312,0.6678631251495573,0.29161681422987956,14828,7771,6881,0.5240760722956569,0.4640544915025627,0.17243767727268317
Conecuh,6640,3420,3080,0.5150602409638554,0.463855421686747,4096,1815,2259,0.443115234375,0.551513671875,0.08765825018825302
Coosa,5288,3381,1782,0.6393721633888049,0.3369894099848714,3313,1867,1415,0.5635375792333233,0.42710534258979777,0.09011593260492634
Covington,16066,13267,2387,0.8257811527449271,0.14857462965268267,9019,6825,2102,0.7567357800199579,0.23306353254241047,0.0844889028897278
Crenshaw,6309,4513,1664,0.7153273101917895,0.26375019812965605,3725,2347,1320,0.6300671140939598,0.35436241610738256,0.0906122179777265
Cullman,38088,32989,3798,0.8661258139046418,0.0997164461247637,21103,16609,4161,0.7870444960432166,0.1971757570013742,0.09745931087661051
Dale,18849,13808,4413,0.732558756432702,0.23412382619767627,10976,6991,3844,0.6369351311953353,0.3502186588921283,0.116094832694452
