Precinct,Total.x,Trump,Clinton,trump_pct,clinton_pct,Total.y,Jones,Moore,jones_pct,moore_pct,change_dem
10 JONES COMMUNITY CTR,358,218,135,0.6089385474860335,0.3770949720670391,230,114,116,0.4956521739130435,0.5043478260869565,0.11855720184600438
100 TRINITY METHODIST,2185,1801,285,0.8242562929061785,0.13043478260869565,1369,380,948,0.27757487216946675,0.6924762600438276,0.1471400895607711
110 CENTRAL AL ELECTRIC,332,120,203,0.3614457831325301,0.6114457831325302,229,152,75,0.6637554585152838,0.32751091703056767,0.05230967538275366
140 AUTAUGAVILLE VFD,735,312,406,0.42448979591836733,0.5523809523809524,502,304,194,0.6055776892430279,0.38645418326693226,0.05319673686207549
150 PRATTMONT BAPTIST CH,1183,824,287,0.6965342349957735,0.24260355029585798,652,270,371,0.41411042944785276,0.5690184049079755,0.17150687915199478
160 DOSTER COMMUNITY CTR,4710,3162,1356,0.6713375796178344,0.2878980891719745,2966,1275,1630,0.42987188132164533,0.5495616992582603,0.14197379214967082
170 CAMELLIA BAPTIST CH,1492,1013,418,0.6789544235924933,0.2801608579088472,899,391,485,0.43492769744160176,0.5394883203559511,0.15476683953275455
180 OLD KINGSTON VFD,722,400,294,0.554016620498615,0.407202216066482,434,244,188,0.5622119815668203,0.43317972350230416,0.1550097655003383
1ST BAPTIST CH IRVINGTON 1,1206,945,223,0.7835820895522388,0.18490878938640132,485,154,325,0.31752577319587627,0.6701030927835051,0.13261698380947495
1ST BAPTIST CH IRVINGTON 2,887,676,182,0.762119503945885,0.20518602029312288,624,168,448,0.2692307692307692,0.717948717948718,0.06404474893764633
1ST BAPTIST CHURCH,2831,1622,955,0.572942423172024,0.33733663016601906,2305,1355,841,0.5878524945770065,0.3648590021691974,0.25051586441098744
1ST BAPTIST CHURCH,2831,1622,955,0.572942423172024,0.33733663016601906,1357,368,956,0.2711864406779661,0.7044952100221076,-0.06615018948805296
1ST BAPTIST CHURCH,2627,2086,426,0.794061667301104,0.16216216216216217,2305,1355,841,0.5878524945770065,0.3648590021691974,0.42569033241484433
1ST BAPTIST CHURCH,2627,2086,426,0.794061667301104,0.16216216216216217,1357,368,956,0.2711864406779661,0.7044952100221076,0.10902427851580393
1ST BAPTIST PELHAM ANNEX,3252,1995,1020,0.6134686346863468,0.31365313653136534,2100,1151,897,0.5480952380952381,0.42714285714285716,0.23444210156387274
1ST BAPTIST WILMER GYM 1,647,540,92,0.8346213292117465,0.14219474497681608,414,85,327,0.20531400966183574,0.7898550724637681,0.06311926468501966
1ST BAPTIST WILMER GYM 2,746,640,95,0.8579088471849866,0.12734584450402145,388,98,287,0.25257731958762886,0.7396907216494846,0.1252314750836074
1ST CHRISTIAN CHURCH,2860,1969,694,0.6884615384615385,0.24265734265734265,2022,930,1014,0.4599406528189911,0.5014836795252225,0.21728331016164845
1ST PRESBYTERIAN CHURCH,2642,1929,555,0.7301286903860712,0.2100681302043906,315,248,66,0.7873015873015873,0.20952380952380953,0.5772334570971966
1ST PRESBYTERIAN CHURCH,2642,1929,555,0.7301286903860712,0.2100681302043906,1713,705,963,0.4115586690017513,0.5621716287215411,0.2014905387973607
1ST UNITED METH  WEAVER,2256,1724,416,0.7641843971631206,0.18439716312056736,1248,439,778,0.35176282051282054,0.6233974358974359,0.16736565739225318
1ST UNITED METHATTALLA,1183,669,466,0.5655114116652579,0.39391377852916315,710,408,291,0.5746478873239437,0.4098591549295775,0.18073410879478052
1ST UNITED METHODIST,627,466,135,0.7432216905901117,0.215311004784689,403,143,258,0.3548387096774194,0.6401985111662531,0.13952770489273036
20 HERITAGE BAPTIST,2195,1758,332,0.8009111617312072,0.15125284738041003,1309,413,872,0.3155080213903743,0.666157372039725,0.16425517400996428
21ST STREET GYM,1611,1441,127,0.8944754810676598,0.07883302296710118,847,117,717,0.1381345926800472,0.846517119244392,0.059301569712946034
220 UPPER KINGSTON,1208,931,228,0.7706953642384106,0.18874172185430463,712,217,468,0.3047752808988764,0.6573033707865169,0.11603355904457177
2ND MOUNT ZION CHURCH,93,25,64,0.26881720430107525,0.6881720430107527,74,59,15,0.7972972972972973,0.20270270270270271,0.10912525428654452
50 WHITE CITY VFD,508,356,138,0.7007874015748031,0.27165354330708663,322,125,194,0.38819875776397517,0.6024844720496895,0.11654521445688854
60 MARBURY MIDDLE SCH,747,641,76,0.85809906291834,0.10174029451137885,413,90,318,0.2179176755447942,0.7699757869249395,0.11617738103341534
80 INDEPENDENCE VFD,415,210,201,0.5060240963855421,0.4843373493975904,268,152,111,0.5671641791044776,0.4141791044776119,0.0828268297068872
90 BOOTH VFD,735,547,161,0.7442176870748299,0.21904761904761905,437,162,272,0.3707093821510298,0.6224256292906178,0.15166176310341073
A  M UNIVERSITY NEW GYM,1282,17,1213,0.013260530421216849,0.9461778471138845,374,364,9,0.9732620320855615,0.02406417112299465,0.027084184971676972
ABBEVILLE VOTING CENTER,1256,649,578,0.51671974522293,0.4601910828025478,827,444,379,0.5368802902055623,0.45828295042321643,0.07668920740301449
ABEL VOTING HOUSE,170,162,6,0.9529411764705882,0.03529411764705882,97,10,86,0.10309278350515463,0.8865979381443299,0.06779866585809581
ABERFOIL,207,67,139,0.32367149758454106,0.6714975845410628,143,115,28,0.8041958041958042,0.1958041958041958,0.13269821965474138
ABERNANT BAPT CH,820,719,80,0.8768292682926829,0.0975609756097561,434,86,338,0.19815668202764977,0.7788018433179723,0.10059570641789367
ABUNDANT LIFE CH,267,232,25,0.8689138576779026,0.09363295880149813,137,33,103,0.24087591240875914,0.7518248175182481,0.147242953607261
AC HOUS AUTH YA SERVICE,767,345,417,0.4498044328552803,0.5436766623207301,461,290,170,0.6290672451193059,0.368763557483731,0.08539058279857581
ADAMSBURG FIRE DEPT,418,359,42,0.8588516746411483,0.10047846889952153,253,57,193,0.22529644268774704,0.7628458498023716,0.12481797378822551
ADDISON COMMUNITY CTR,903,820,71,0.9080841638981174,0.07862679955703211,497,57,437,0.11468812877263582,0.8792756539235412,0.036061329215603705
AFLAME CHURCH,2011,1468,479,0.729985082048732,0.2381899552461462,1316,464,807,0.3525835866261398,0.6132218844984803,0.11439363137999362
AKRON CITY HALL,460,182,272,0.39565217391304347,0.591304347826087,339,226,111,0.6666666666666666,0.3274336283185841,0.07536231884057965
ALABASTER LIBERTY BAPTIST,681,210,450,0.30837004405286345,0.6607929515418502,478,373,100,0.7803347280334728,0.20920502092050208,0.11954177649162256
