County,Total_2012,Romney,Obama,romney_pct,obama_pct,Total_2016,Trump,Clinton,trump_pct,clinton_pct,gop_change,dallet_pct,screnock_pct,dem_change
Adams,10287,4644,5542,0.45144356955380577,0.5387382132788957,10130,5966,3745,0.588943731490622,0.3696939782823297,0.1375001619368162,49.74,50.26,0.12770602171767031
Ashland,8372,2820,5399,0.3368370759675107,0.6448877209746775,8032,3303,4226,0.4112300796812749,0.5261454183266933,0.07439300371376417,66.94,33.06,0.14325458167330674
Barron,22692,11443,10890,0.5042746342323285,0.47990481226864096,22671,13614,7889,0.6005028450443297,0.34797759251907723,0.09622821081200117,46.94,53.06,0.12142240748092276
Bayfield,9788,3603,6033,0.36810380057212916,0.6163669799754802,9612,4124,4953,0.42904702455264254,0.5152933832709113,0.060943223980513384,64.87,35.13,0.1334066167290887
Brown,128928,64836,62526,0.502885331347729,0.4849683544303797,129011,67210,53382,0.5209633287084047,0.4137786700358884,0.018077997360675724,55.12,44.88,0.1374213299641116
Buffalo,7039,3364,3570,0.4779087938627646,0.5071743145333144,6981,4048,2525,0.5798596189657642,0.36169603208709356,0.10195082510299963,47.07,52.93,0.10900396791290645
Burnett,8677,4550,3986,0.5243747839114902,0.4593753601475164,8738,5410,2949,0.6191348134584573,0.33749141680018313,0.09476002954696716,42.04,57.96,0.08290858319981687
Calumet,26420,14539,11489,0.5503028009084028,0.43485995457986376,26595,15367,9642,0.5778153788306073,0.3625493513818387,0.027512577922204517,48.86,51.14,0.1260506486181613
Chippewa,30932,15322,15237,0.4953446269235743,0.4925966636492952,31568,17916,11887,0.5675367460719716,0.3765522047643183,0.0721921191483973,51.03,48.97,0.1337477952356817
Clark,13801,7412,6172,0.5370625317006014,0.4472139700021738,13673,8652,4221,0.6327799312513713,0.30871059752797486,0.09571739955076997,46.94,53.06,0.16068940247202512
Columbia,30546,13026,17175,0.42643881359261443,0.5622667452366922,29698,14163,13528,0.47690080140076774,0.4555188901609536,0.05046198780815331,56.19,43.81,0.10638110983904636
Crawford,7817,3067,4629,0.39235000639631573,0.5921709095560956,7728,3836,3419,0.4963768115942029,0.44241718426501037,0.10402680519788715,58.38,41.62,0.14138281573498962
Dane,304181,83644,216071,0.27498101459328494,0.7103369375470526,309354,71275,217697,0.2303994776211072,0.7037148380172876,-0.04458153697217773,81,19,0.10628516198271243
Dodge,44488,25211,18762,0.5666921417011329,0.4217317029311275,43078,26635,13968,0.6182970425739357,0.32424903663122706,0.051604900872802784,42.96,57.04,0.10535096336877298
Door,17671,8121,9357,0.4595665214192745,0.5295116292230208,17592,8580,8014,0.4877216916780355,0.4555479763528877,0.028155170258760964,62.16,37.84,0.16605202364711225
Douglas,22894,7705,14863,0.3365510614134708,0.6492093998427536,22536,9661,11357,0.42869187078452253,0.5039492367767128,0.09214080937105174,62.54,37.46,0.12145076322328718
Dunn,21992,10224,11316,0.46489632593670427,0.5145507457257185,22106,11486,9034,0.5195874423233511,0.4086673301366145,0.05469111638664681,55.22,44.78,0.14353266986338553
