county,ward,total,Screnock,Dallet,SCATTERING
ADAMS ,Town of ADAMS Ward 1-3,247,132,115,0
,Town of BIG FLATS Ward 1-2,159,74,85,0
,Town of COLBURN Ward 1,41,20,21,0
,Town of DELL PRAIRIE Ward 1-3,234,124,110,0
,Town of EASTON Ward 1-2,193,120,73,0
,Town of JACKSON Ward 1-2,205,112,93,0
,Town of LEOLA Ward 1,49,38,11,0
,Town of LINCOLN Ward 1,75,45,30,0
,Town of MONROE Ward 1,109,56,53,0
,Town of NEW CHESTER Ward 1-3,129,60,69,0
,Town of NEW HAVEN Ward 1,133,56,76,1
,Town of PRESTON Ward 1-2,283,130,153,0
,Town of QUINCY Wards 1-3,225,110,115,0
,Town of RICHFIELD Ward 1,41,27,14,0
,Town of ROME Ward 1-5,783,358,425,0
,Town of SPRINGVILLE Ward 1-2,229,132,97,0
,Town of STRONGS PRAIRIE Wards 1-3,235,121,114,0
,Village of FRIENDSHIP Ward 1,123,52,71,0
,City of ADAMS Ward 1,90,52,38,0
,City of ADAMS Ward 2,103,39,63,1
,City of ADAMS Ward 3,57,29,28,0
,City of ADAMS Ward 4,58,22,36,0
,"CITY OF WISCONSIN DELLS Wards 5,9",5,3,2,0
,County Totals:,"3,806","1,912","1,892",2
ASHLAND ,Town of AGENDA Ward 1,74,43,31,0
,Town of ASHLAND Ward 1,90,23,67,0
,Town of CHIPPEWA Ward 1,97,60,37,0
,Town of GINGLES Ward 1,145,51,94,0
,Town of GORDON Ward 1,31,20,11,0
,Town of GORDON Ward 2,12,5,7,0
,Town of JACOBS Ward 1,103,49,54,0
,Town of LA POINTE Ward 1,175,41,134,0
,Town of MARENGO Ward 1,53,15,34,4
,Town of MARENGO Ward 2,46,12,27,7
,Town of MORSE Ward 1,68,24,44,0
,Town of MORSE Ward 2,10,3,7,0
,Town of MORSE Ward 3,8,3,5,0
,Town of PEEKSVILLE Ward 1,26,19,7,0
,Town of PEEKSVILLE Ward 2,21,10,11,0
,Town of SANBORN Ward 1,60,9,51,0
,Town of SANBORN Ward 2,66,10,56,0
,Town of SHANAGOLDEN Ward 1,23,7,16,0
,Town of WHITE RIVER Ward 1,139,86,52,1
,Town of WHITE RIVER Ward 2,18,13,5,0
,Village of BUTTERNUT Ward 1,7,1,6,0
,Village of BUTTERNUT Ward 2,65,25,40,0
,City of ASHLAND Ward 1,197,91,106,0
,City of ASHLAND Ward 2,88,21,67,0
,City of ASHLAND Ward 3,123,38,85,0
,City of ASHLAND Ward 4,195,51,144,0
,City of ASHLAND Ward 5,201,36,165,0
,City of ASHLAND Ward 6,88,21,67,0
,City of ASHLAND Ward 7,129,17,112,0
,City of ASHLAND Ward 8,116,29,87,0
,City of ASHLAND Ward 9,93,15,78,0
,City of ASHLAND Ward 10,91,25,65,1
,City of ASHLAND Ward 11,126,43,83,0
,City of MELLEN Ward 1,72,24,48,0
,County Totals:,"2,856",940,"1,903",13
BARRON ,Town of ALMENA Ward 1-2,91,48,43,0
,Town of ARLAND Ward 1,81,36,45,0
,Town of BARRON Ward 1-2,110,84,26,0
,Town of BEAR LAKE Ward 1,95,46,49,0
,Town of CEDAR LAKE Ward 1,199,122,77,0
,Town of CHETEK Wards 1-2,208,110,98,0
,Town of CLINTON Ward 1,75,52,23,0
,Town of CRYSTAL LAKE Ward 1,110,78,32,0
,Town of CUMBERLAND Ward 1,130,80,50,0
,Town of DALLAS Ward 1,76,51,25,0
,Town of DOVRE Ward 1,92,44,48,0
,Town of DOYLE Ward 1-2,57,32,25,0
,Town of LAKELAND Ward 1-2,153,75,78,0
,Town of MAPLE GROVE Ward 1-2,118,78,40,0
,Town of MAPLE PLAIN Ward 1,138,83,55,0
,Town of OAK GROVE Ward 1-2,115,69,46,0
,Town of PRAIRIE FARM Wards 1-2,124,63,60,1
,Town of PRAIRIE LAKE Ward 1-2,217,122,95,0
,Town of RICE LAKE Wards 1-4,371,177,194,0
,Town of SIOUX CREEK Ward 1,84,60,24,0
,Town of STANFOLD Ward 1,99,63,36,0
,Town of STANLEY Ward 1-4,297,179,118,0
,Town of SUMNER Ward 1,83,46,37,0
,Town of TURTLE LAKE Ward 1,84,48,36,0
,Town of VANCE CREEK Ward 1,92,44,48,0
,Village of ALMENA Ward 1,57,37,20,0
,Village of CAMERON Wards 1-3,140,73,67,0
,Village of DALLAS Ward 1,35,22,13,0
,Village of HAUGEN Ward 1,25,15,10,0
,VILLAGE OF NEW AUBURN Wards 2-3,2,0,2,0
,Village of PRAIRIE FARM Ward 1,62,29,33,0
,Village of TURTLE LAKE Ward 1,86,36,50,0
,City of BARRON Ward 1-7,560,315,245,0
,City of CHETEK Wards 1-4,222,110,112,0
,City of CUMBERLAND Ward 1-4,342,156,186,0
,City of RICE LAKE Wards 1-13,"1,059",440,616,3
,County Totals:,"5,889","3,123","2,762",4
BAYFIELD ,Town of BARKSDALE Ward 1,175,53,122,0
,Town of BARNES Ward 1,227,95,132,0
,Town of BAYFIELD Ward 1,309,95,214,0
,Town of BAYVIEW Ward 1,188,77,111,0
