CNTY_NAME,MCD_NAME,STR_WARDS,CTV,Dallet,total,dallet_pct
adams,colburn,0001,t,21,41,0.5121951219512195
adams,leola,0001,t,11,49,0.22448979591836735
adams,lincoln,0001,t,30,75,0.4
adams,monroe,0001,t,53,109,0.48623853211009177
adams,newhaven,0001,t,76,133,0.5714285714285714
adams,richfield,0001,t,14,41,0.34146341463414637
adams,friendship,0001,v,71,123,0.5772357723577236
adams,adams,0001,c,38,90,0.4222222222222222
adams,adams,0002,c,63,103,0.6116504854368932
adams,adams,0003,c,28,57,0.49122807017543857
adams,adams,0004,c,36,58,0.6206896551724138
adams,wisconsindells,0005,c,1,2.5,0.4
ashland,agenda,0001,t,31,74,0.4189189189189189
ashland,ashland,0001,t,67,90,0.7444444444444445
ashland,chippewa,0001,t,37,97,0.38144329896907214
ashland,gingles,0001,t,94,145,0.6482758620689655
ashland,gordon,0001,t,11,31,0.3548387096774194
ashland,gordon,0002,t,7,12,0.5833333333333334
ashland,jacobs,0001,t,54,103,0.5242718446601942
ashland,lapointe,0001,t,134,175,0.7657142857142857
ashland,marengo,0001,t,34,53,0.6415094339622641
ashland,marengo,0002,t,27,46,0.5869565217391305
ashland,morse,0001,t,44,68,0.6470588235294118
ashland,morse,0002,t,7,10,0.7
ashland,morse,0003,t,5,8,0.625
ashland,peeksville,0001,t,7,26,0.2692307692307692
ashland,peeksville,0002,t,11,21,0.5238095238095238
ashland,sanborn,0001,t,51,60,0.85
ashland,sanborn,0002,t,56,66,0.8484848484848485
ashland,shanagolden,0001,t,16,23,0.6956521739130435
ashland,whiteriver,0001,t,52,139,0.37410071942446044
ashland,whiteriver,0002,t,5,18,0.2777777777777778
ashland,butternut,0001,v,6,7,0.8571428571428571
ashland,butternut,0002,v,40,65,0.6153846153846154
ashland,ashland,0001,c,106,197,0.5380710659898477
ashland,ashland,0002,c,67,88,0.7613636363636364
ashland,ashland,0003,c,85,123,0.6910569105691057
ashland,ashland,0004,c,144,195,0.7384615384615385
ashland,ashland,0005,c,165,201,0.8208955223880597
ashland,ashland,0006,c,67,88,0.7613636363636364
ashland,ashland,0007,c,112,129,0.8682170542635659
ashland,ashland,0008,c,87,116,0.75
ashland,ashland,0009,c,78,93,0.8387096774193549
ashland,ashland,0010,c,65,91,0.7142857142857143
ashland,ashland,0011,c,83,126,0.6587301587301587
ashland,mellen,0001,c,48,72,0.6666666666666666
barron,arland,0001,t,45,81,0.5555555555555556
barron,bearlake,0001,t,49,95,0.5157894736842106
barron,cedarlake,0001,t,77,199,0.3869346733668342
barron,clinton,0001,t,23,75,0.30666666666666664
barron,crystallake,0001,t,32,110,0.2909090909090909
barron,cumberland,0001,t,50,130,0.38461538461538464
barron,dallas,0001,t,25,76,0.32894736842105265
barron,dovre,0001,t,48,92,0.5217391304347826
barron,mapleplain,0001,t,55,138,0.39855072463768115
barron,siouxcreek,0001,t,24,84,0.2857142857142857
barron,stanfold,0001,t,36,99,0.36363636363636365
barron,sumner,0001,t,37,83,0.4457831325301205
barron,turtlelake,0001,t,36,84,0.42857142857142855
barron,vancecreek,0001,t,48,92,0.5217391304347826
barron,almena,0001,v,20,57,0.3508771929824561
barron,dallas,0001,v,13,35,0.37142857142857144
barron,haugen,0001,v,10,25,0.4
barron,prairiefarm,0001,v,33,62,0.532258064516129
barron,turtlelake,0001,v,50,86,0.5813953488372093
bayfield,barksdale,0001,t,122,175,0.6971428571428572
bayfield,barnes,0001,t,132,227,0.5814977973568282
bayfield,bayfield,0001,t,214,309,0.6925566343042071
bayfield,bayview,0001,t,111,188,0.5904255319148937
bayfield,bell,0001,t,110,175,0.6285714285714286
